filename,watyr,post_drain,pre_drain
homathko,2023,05/12/2023 15:00,05/12/2023 13:00
homathko,2023,6/30/2023 10:00,6/30/2023 7:00
homathko,2024,10/05/2023 09:00,
lowercain,2019,05/07/2019 15:00,
lowercain,2020,10/30/2019 10:00,10/30/2019 8:00
lowercain,2020,05/08/2020 09:00,05/08/2020 07:00
lowercain,2020,9/29/2020 11:00,
lowercain,2021,03/12/2021 13:00,03/12/2021 11:00
lowercain,2022,10/22/2021 9:00,10/22/2021 7:00
lowercain,2022,7/14/2022 18:00,7/14/2022 16:00
lowercain,2023,3/30/2023 9:00,3/30/2023 1:00
lowercain,2024,10/25/2023 17:00,
uppercruickshank,2021,03/09/2021 14:00,
uppercruickshank,2022,11/16/2021 18:00,
uppercruickshank,2022,7/13/2022 8:00,
uppercruickshank,2023,9/22/2023 10:00,9/22/2023 7:00
uppercruickshank,2024,02/12/2024 12:00,02/12/2024 10:00
perseverance,2023,9/22/2023 10:00,9/22/2023 7:00
perseverance,2019,7/26/2019 12:00,
perseverance,2020,03/09/2020 13:00,
perseverance,2021,10/21/2020 12:00,10/21/2020 9:00
perseverance,2021,6/18/2021 12:00,
perseverance,2022,11/16/2021 14:00,11/16/2021 11:00
perseverance,2023,11/02/2022 16:00,11/02/2022 14:00
perseverance,2023,9/22/2023 11:00,
perseverance,2024,02/12/2024 13:00,
mountarrowsmith,2017,12/15/2016 16:00,12/14/2016 13:00
mountarrowsmith,2017,08/12/2017 17:00,1/22/2017 9:00
mountarrowsmith,2018,02/08/2018 13:00,02/08/2018 11:00
mountarrowsmith,2019,10/04/2018 12:00,10/04/2018 09:00
mountarrowsmith,2019,02/04/2019 15:00,02/04/2019 05:00
mountarrowsmith,2019,9/27/2019 14:00,9/27/2019 12:00
mountarrowsmith,2020,02/10/2020 15:00,02/10/2020 13:00
mountarrowsmith,2021,10/14/2020 10:00,10/14/2020 8:00
mountarrowsmith,2021,03/09/2021 12:00,
mountarrowsmith,2021,9/15/2021 15:00,
mountarrowsmith,2022,11/17/2021 16:00,11/17/2021 13:00
mountarrowsmith,2022,6/23/2022 17:00,
mountarrowsmith,2023,05/11/2023 15:00,
mountarrowsmith,2024,10/13/2023 12:00,10/13/2023 10:00
mountarrowsmith,2024,04/05/2024 12:00,04/05/2024 11:00
tetrahedron,2018,2/20/2018 1:00,2/19/2018 23:00
tetrahedron,2018,6/19/2018 18:00,6/19/2018 16:00
tetrahedron,2019,10/03/2018 18:00,10/03/2018 16:00
tetrahedron,2019,02/06/2019 22:00,02/06/2019 21:00
tetrahedron,2020,2/18/2020 23:00,
tetrahedron,2020,5/29/2020 11:00,5/29/2020 9:00
tetrahedron,2021,10/14/2020 19:00,10/14/2020 17:00
tetrahedron,2021,03/12/2021 19:00,03/12/2021 17:00
tetrahedron,2022,11/16/2021 23:00,11/16/2021 21:00
tetrahedron,2022,04/07/2022 21:00,04/07/2022 18:00
tetrahedron,2023,11/02/2022 19:00,11/02/2022 17:00
tetrahedron,2023,05/11/2023 22:00,
tetrahedron,2024,1/15/2024 15:00,1/15/2024 13:00
tetrahedron,2024,04/04/2024 15:00,
upperrussell,2018,11/03/2017 15:00,11/03/2017 13:00
upperrussell,2018,12/07/2017 16:00,12/07/2017 14:00
upperrussell,2020,10/31/2019 14:00,10/31/2019 12:00
upperrussell,2020,05/08/2020 13:00,05/08/2020 11:00
upperrussell,2021,10/02/2020 16:00,10/02/2020 14:00
upperrussell,2021,03/12/2021 11:00,03/12/2021 09:00
upperrussell,2022,10/20/2021 10:00,10/20/2021 8:00
